quantity,value,note
a_sound_m_s,295.0721,
baseline_cruise,0.613,
baseline_block,0.847,
baseline_block_ratio,1.55,
conservative_cruise,1.021,
conservative_block,1.254,
conservative_block_ratio,2.3,
optimistic_cruise,0.361,
optimistic_block,0.594,
optimistic_block_ratio,1.09,
envelope_block_min,0.522,
envelope_block_max,1.437,
envelope_cruise_min,0.289,
envelope_cruise_max,1.203,
envelope_block_ratio_min,0.958,
envelope_block_ratio_max,2.636,
envelope_cruise_ratio_min,0.529,
envelope_cruise_ratio_max,2.208,
EF_cruise_sup,1.021,
EF_cruise_sub,0.465,
stage_500_sup_co2_kg,860.0,
stage_500_sup_intensity,1.721,
stage_500_sup_nox_kg,5.44,
stage_500_sup_h2o_kg,335.0,
stage_500_sub_co2_kg,353.0,
stage_500_sub_intensity,0.705,
stage_500_sub_nox_kg,1.67,
stage_500_sub_h2o_kg,137.0,
stage_1500_sup_co2_kg,1881.0,
stage_1500_sup_intensity,1.254,
stage_1500_sup_nox_kg,11.9,
stage_1500_sup_h2o_kg,732.0,
stage_1500_sub_co2_kg,818.0,
stage_1500_sub_intensity,0.545,
stage_1500_sub_nox_kg,3.88,
stage_1500_sub_h2o_kg,318.0,
stage_5000_sup_co2_kg,5453.0,
stage_5000_sup_intensity,1.091,
stage_5000_sup_nox_kg,34.51,
stage_5000_sup_h2o_kg,2122.0,
stage_5000_sub_co2_kg,2445.0,
stage_5000_sub_intensity,0.489,
stage_5000_sub_nox_kg,11.61,
stage_5000_sub_h2o_kg,952.0,
overhead500_-25%_co2_kg,773.0,
overhead500_-25%_intensity,1.55,
overhead500_baseline_co2_kg,860.0,
overhead500_baseline_intensity,1.72,
overhead500_+50%_co2_kg,1035.0,
overhead500_+50%_intensity,2.07,
emis1500_sup_co2_kg,1881.0,
emis1500_sup_nox_mid,11.9,
emis1500_sup_nox_lo,8.9,
emis1500_sup_nox_hi,14.9,
emis1500_sup_h2o_kg,732.0,
erf_co2e_lo,3.13,
erf_co2e_hi,3.76,
